PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/10/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",600,"961,5919140871763","599,4693619709412",0,0,0,0,0,"599,47",0,0,0,0
2012/10/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,"1843,6260265319015","694,8831332912192",0,0,0,0,0,"694,88",0,0,0,0
2012/10/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1200,"2722,5015792798486","1292,937460518004","522,25","770,69",0,0,0,0,0,0,0,0
2012/10/01,"BIOETANOL RÍO CUARTO S.A.","RÍO CUARTO",CÓRDOBA,MAÍZ,7500,"5526,0199620972835","5514,7062539482",0,0,0,0,"1920,05","3594,66",0,0,0,0
2012/10/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",5083,"4124,864181933039","4376,23499684144","622,38",0,0,0,"691,02","2180,92","65,85","816,06",0,0
2012/10/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",3017,"2246,3929248262793","1585,6222362602653",0,0,0,0,0,"1585,62",0,0,0,0
2012/10/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",4000,"4015,4643082754264","3478,4712571067594",0,0,0,"623,57",0,"2521,23",0,"333,67",0,0
2012/10/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"1695,5148452305748","2207,2015161086547","1479,47",0,0,0,"400,5",0,0,"327,23",0,0
2012/10/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",1000,"2662,5142135186356","975,0600126342388",0,0,0,0,"471,73","503,33",0,0,0,0
2012/11/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"8280,998104864182","3800,9981048641816",297,0,0,0,1507,1997,0,0,0,0
